time,sa,msa,ia
2019-10-20 02:55:00,45275.046875,471655.5,395900.15625
2019-10-20 03:05:00,96133.2421875,397632.5625,423945.5
2019-10-20 03:15:00,105529.7734375,398285.28125,408103.78125
2019-10-20 03:25:00,101327.6328125,540646.1875,422501.84375
2019-10-20 03:45:00,85136.4921875,603345.4375,558497.1875
2019-10-20 03:55:00,81672.96875,517256.71875,519818.96875
2019-10-20 04:35:00,49939.96875,705554.625,406211.78125
2019-10-20 04:45:00,63925.13671875,556257.625,466072.71875
2019-10-20 04:55:00,51019.34375,533347.8125,485763.84375
2019-10-20 05:05:00,102957.875,552535.5,572605.25
2019-10-20 05:15:00,99408.2421875,430057.34375,556913.0
2019-10-20 05:25:00,93888.296875,375718.59375,584365.625
2019-10-20 05:35:00,129073.671875,508802.78125,537360.5625
2019-10-20 06:15:00,61656.51171875,627602.3125,536500.75
2019-10-20 06:55:00,78677.9140625,484579.25,379954.46875
2019-10-20 07:35:00,33455.18359375,410248.25,207783.953125
2019-10-20 07:45:00,56683.796875,430023.53125,247784.734375
2019-10-20 07:55:00,130893.609375,378892.3125,236946.1875
2019-10-20 08:35:00,55036.8046875,451223.25,104225.34375
2019-10-20 08:40:00,112699.3125,607137.6875,71907.15625
2019-10-20 08:45:00,43763.0703125,576358.75,84879.15625
2019-10-20 08:50:00,57122.77734375,502284.90625,119005.96875
2019-10-20 08:55:00,29007.505859375,536227.5625,103188.78125
2019-10-20 09:00:00,54822.97265625,432835.5,89548.671875
2019-10-20 09:05:00,45353.28515625,447255.15625,88320.0
2019-10-20 09:10:00,63742.2265625,527822.3125,105016.6171875
2019-10-20 09:20:00,36037.87109375,499473.84375,87109.75
2019-10-20 09:25:00,62607.2109375,686178.5,60996.66015625
2019-10-20 09:35:00,155564.8125,752280.5,59617.58984375
2019-10-20 09:45:00,81774.8828125,773797.25,58998.91796875
2019-10-20 09:55:00,173277.84375,791253.5625,78555.7421875
2019-10-20 10:05:00,132945.640625,729132.125,96979.03125
2019-10-20 10:15:00,10046.072265625,515643.28125,52086.0625
2019-10-20 10:20:00,144742.703125,503158.71875,78713.5546875
2019-10-20 10:25:00,136765.03125,510275.4375,90305.984375
2019-10-20 10:35:00,61419.9375,383864.59375,76613.09375
2019-10-20 10:40:00,35599.7890625,310674.75,81117.953125
2019-10-20 10:50:00,92742.21875,397950.59375,128281.3203125
2019-10-20 11:15:00,45088.48046875,241623.203125,196700.71875
2019-10-20 11:35:00,53368.3359375,191372.75,204909.0
2019-10-20 11:50:00,79787.2109375,251338.875,222589.625
2019-10-20 11:55:00,57492.03125,140545.78125,209779.484375
2019-10-20 12:05:00,65656.640625,126662.4765625,223753.0
2019-10-20 12:10:00,94525.5078125,300140.59375,188518.5625
2019-10-20 12:15:00,28475.548828125,246873.671875,199990.078125
2019-10-20 12:25:00,48487.0859375,206707.078125,171374.25
2019-10-20 12:35:00,63549.203125,217209.84375,192824.15625
2019-10-20 12:40:00,4840.48486328125,184428.609375,152653.59375
2019-10-20 12:45:00,64119.640625,364940.03125,134135.984375
2019-10-20 12:55:00,45.44189453125,294744.1875,163907.640625
2019-10-20 13:00:00,150946.40625,259494.25,161297.328125
2019-10-20 13:30:00,53146.50390625,272284.1875,155268.53125
2019-10-20 13:35:00,138901.5625,283837.1875,171451.90625
2019-10-20 13:45:00,27984.287109375,323896.875,146781.390625
2019-10-20 13:50:00,136075.328125,355802.375,156071.3125
2019-10-20 13:55:00,32928.81640625,260211.625,160309.828125
2019-10-20 14:00:00,34035.0,361840.4375,129853.90625
2019-10-20 14:15:00,16080.494140625,362797.8125,98405.5546875
2019-10-20 14:30:00,49302.8671875,371080.53125,162203.921875
2019-10-20 14:35:00,26651.705078125,372393.6875,172939.734375
2019-10-20 14:45:00,97601.328125,347653.71875,217916.1875
2019-10-20 14:55:00,70409.421875,248012.859375,222058.546875
2019-10-20 15:25:00,34597.52734375,156327.234375,168419.078125
2019-10-20 15:35:00,83929.859375,201944.71875,190572.59375
2019-10-20 16:35:00,18014.294921875,238429.875,137882.796875
2019-10-20 16:45:00,3095.49267578125,240576.984375,126216.7265625
2019-10-20 17:05:00,84436.2109375,86313.03125,119751.3125
2019-10-20 17:15:00,84578.53125,87230.78125,119128.8671875
2019-10-20 17:45:00,44744.34765625,231936.671875,80228.0625
2019-10-20 18:25:00,73900.265625,272522.90625,126301.1484375
2019-10-20 18:45:00,38599.5546875,168084.96875,97564.7734375
2019-10-20 18:55:00,23832.1484375,348799.84375,90930.984375
2019-10-20 19:15:00,21896.9921875,468683.71875,59576.38671875
2019-10-20 19:25:00,19486.328125,544014.75,43712.6875
2019-10-20 19:30:00,100025.4140625,851237.4375,49846.60546875
2019-10-20 19:35:00,34361.28125,860824.875,51411.4609375
2019-10-20 19:45:00,52132.1796875,783431.6875,70065.53125
2019-10-20 19:55:00,115639.8125,918616.0,43140.5234375
2019-10-20 20:05:00,64941.4453125,973398.25,71795.296875
2019-10-20 20:15:00,8944.919921875,1076758.0,17253.72265625
2019-10-20 20:25:00,29914.25,930859.125,53962.8515625
2019-10-20 20:35:00,31121.44140625,966304.75,50228.1015625
2019-10-20 20:55:00,14335.109375,674917.25,57855.25
2019-10-20 21:05:00,51726.59765625,525868.0625,86859.5078125
2019-10-20 21:15:00,41393.26171875,428581.46875,94335.7109375
2019-10-20 21:25:00,60735.078125,678268.5,38876.6015625
2019-10-20 21:30:00,19555.8828125,659179.0,40824.4765625
2019-10-20 21:35:00,28527.41796875,711717.9375,19112.744140625
2019-10-20 21:45:00,58215.4765625,776667.875,24070.916015625
2019-10-20 21:55:00,59038.65234375,692044.75,27854.0546875
2019-10-20 22:05:00,81018.125,633388.5,40607.890625
2019-10-20 22:25:00,2408.0654296875,512958.5625,37056.1796875
2019-10-20 22:35:00,49360.8125,409030.46875,83820.2578125
2019-10-20 22:45:00,88710.671875,307083.90625,70579.09375
2019-10-20 23:10:00,21392.1796875,397665.90625,61730.9921875
2019-10-20 23:25:00,59236.0625,291869.71875,53642.84375
2019-10-20 23:35:00,34997.7109375,238976.828125,75697.0546875
2019-10-20 23:45:00,8251.7177734375,200619.15625,111060.640625
2019-10-21 00:05:00,21786.1640625,287586.125,60921.71875
2019-10-21 00:15:00,6352.9404296875,199503.609375,98365.2109375
2019-10-21 00:35:00,66976.9296875,265719.0625,82383.03125
2019-10-21 00:50:00,35465.81640625,238894.828125,53932.7734375
2019-10-21 00:55:00,35137.75390625,222792.734375,72797.953125
2019-10-21 01:15:00,79845.4375,200301.90625,87386.375
2019-10-21 01:25:00,45873.171875,243697.671875,110612.1875
2019-10-21 01:35:00,13812.259765625,186965.0,90594.8046875
2019-10-21 01:45:00,116326.796875,252426.515625,121625.265625
2019-10-21 01:55:00,77427.953125,241034.828125,86215.921875
2019-10-21 02:25:00,40487.1171875,212366.6875,108925.4921875
2019-10-21 02:35:00,57434.97265625,210276.5,155989.703125
2019-10-21 02:45:00,9452.7626953125,242952.515625,183539.140625
2019-10-21 03:05:00,51800.09765625,276435.34375,172456.671875
2019-10-21 03:15:00,55967.0625,155097.46875,201794.125
2019-10-21 03:25:00,95256.0625,210707.15625,212663.875
2019-10-21 03:35:00,51332.16015625,126701.6796875,260798.140625
2019-10-21 03:40:00,598.08447265625,201347.609375,290161.875
2019-10-21 03:45:00,23700.595703125,172434.046875,269370.21875
2019-10-21 03:55:00,17632.314453125,175076.09375,320770.4375
2019-10-21 04:05:00,30122.255859375,220885.125,256117.6875
2019-10-21 04:25:00,88555.2265625,190611.0,323695.25
2019-10-21 04:35:00,32058.87890625,219121.828125,355813.71875
2019-10-21 05:05:00,82730.7890625,142284.875,485410.71875
2019-10-21 05:15:00,22434.4140625,168694.125,511344.625
2019-10-21 05:25:00,74148.7890625,164202.3125,476162.03125
2019-10-21 05:35:00,19159.728515625,126623.9140625,472393.5
2019-10-23 19:35:00,4250.9248046875,510312.84375,459601.75
2019-10-23 21:10:00,97172.0234375,292620.0625,65236.73828125
2019-10-23 21:25:00,45335.5390625,308877.96875,19293.455078125
2019-10-23 22:30:00,93522.0625,379358.75,30737.822265625
2019-10-23 22:40:00,104527.53125,564007.1875,76423.859375
2019-10-23 22:50:00,157639.53125,434186.90625,86355.1796875
2019-10-23 23:00:00,105846.8125,497436.53125,93228.40625
2019-10-25 16:10:00,30894.470703125,79336.4140625,532753.0625
2019-10-25 17:00:00,20978.978515625,90560.015625,472066.8125
2019-10-25 19:45:00,25577.01953125,74035.296875,255767.8125
2019-10-25 19:55:00,44812.1484375,14695.017578125,209097.078125
2019-10-25 20:00:00,89401.6953125,57218.84375,239718.390625
2019-10-25 20:05:00,22379.751953125,30486.517578125,171733.515625
2019-10-25 20:10:00,37766.3359375,39541.38671875,222687.953125
2019-10-25 20:20:00,49613.00390625,61197.43359375,261402.65625
2019-10-25 20:30:00,69478.0078125,35668.125,256942.421875
2019-10-25 20:40:00,30540.318359375,107738.4375,291993.40625
2019-10-25 20:45:00,113535.578125,82179.9453125,255068.390625
2019-10-25 22:30:00,187062.421875,116318.5546875,279777.09375
2019-10-25 22:40:00,18241.474609375,187316.203125,275705.625
2019-10-25 22:50:00,56116.10546875,126001.2890625,272973.3125
2019-10-25 23:10:00,75461.453125,120669.8203125,290614.40625
2019-10-25 23:30:00,18114.31640625,57812.3828125,407951.0625
2019-10-25 23:50:00,36084.37109375,99629.5625,471609.84375
2019-10-26 00:20:00,25188.236328125,70585.75,609383.0625
2019-10-26 00:40:00,15269.16015625,121767.5078125,621639.1875
2019-10-26 01:10:00,66408.734375,68223.5859375,493188.25
2019-10-26 01:20:00,1853.4541015625,39811.078125,482019.03125
2019-10-26 01:25:00,14182.2978515625,50098.99609375,447041.65625
2019-10-26 01:30:00,126440.8203125,63505.42578125,481081.6875
2019-10-26 01:40:00,74687.828125,99940.375,557902.8125
2019-10-26 01:45:00,24690.208984375,83913.0859375,512887.90625
2019-10-26 01:50:00,57114.36328125,109324.1484375,441731.96875
2019-10-26 02:10:00,26925.048828125,147391.71875,536971.9375
2019-10-26 02:20:00,53199.9375,128014.7578125,558481.8125
2019-10-26 02:30:00,37718.9609375,34180.82421875,581577.3125
2019-10-26 03:00:00,82693.40625,75772.3828125,595887.125
2019-10-26 03:10:00,63282.81640625,2418.796630859375,634035.0
