time,a,b
2019-09-20 09:00:00,0.84240377,0.86068594
2019-09-20 12:00:00,0.84895736,0.8253093
2019-09-20 15:00:00,0.88159275,0.8769399
2019-09-20 18:00:00,0.95283574,0.9728019
2019-09-20 21:00:00,0.8454429,1.0826514
2019-09-21 00:00:00,0.9832326,1.1836509
2019-09-21 03:00:00,1.116654,1.2680097
2019-09-21 06:00:00,1.5797514,0.51857895
2019-09-21 09:00:00,1.6190298,0.65097845
2019-09-21 12:00:00,2.1184251,0.8254621
2019-09-21 15:00:00,1.6788442,0.8468835
2019-09-21 18:00:00,1.5551659,0.5489321
2019-09-21 21:00:00,2.2724397,0.50919086
2019-09-22 00:00:00,3.0390034,0.62238085
2019-09-22 03:00:00,3.4807138,0.89019096
2019-09-22 06:00:00,3.0842156,0.8429721
2019-09-22 09:00:00,2.3197296,0.3794972
2019-09-22 12:00:00,1.4247341,0.073859505
2019-09-22 15:00:00,2.0161903,0.08386106
2019-09-22 18:00:00,1.7473521,0.067842364
2019-09-22 21:00:00,1.2702281,0.07223867
2019-09-23 00:00:00,1.4738159,0.048577815
2019-09-23 03:00:00,1.4773054,0.055172496
2019-09-23 06:00:00,1.7430339,0.07047511
2019-09-23 09:00:00,2.1782384,0.076447636
2019-09-23 12:00:00,1.9694471,0.06558221
2019-09-23 15:00:00,1.799735,0.09142559
2019-09-23 18:00:00,1.746556,0.21109113
2019-09-23 21:00:00,1.9689704,0.2760323
2019-09-24 00:00:00,2.1009986,0.19408557
2019-09-24 03:00:00,2.1220593,0.17368335
2019-09-24 06:00:00,2.1230204,0.1914932
2019-09-24 09:00:00,2.0462332,0.2171464
2019-09-24 12:00:00,2.3786812,0.09328101
2019-09-24 15:00:00,2.5412836,0.12948857
2019-09-24 18:00:00,2.4597852,0.15403417
2019-09-24 21:00:00,2.2356899,0.1470738
2019-09-25 00:00:00,2.5768487,0.14191268
2019-09-25 03:00:00,2.6963165,0.12484247
2019-09-25 06:00:00,2.551654,0.11779397
2019-09-25 09:00:00,2.1163204,0.105388485
2019-09-25 12:00:00,2.1819048,0.08569677
2019-09-25 15:00:00,1.7793798,0.08333512
2019-09-25 18:00:00,1.3643787,0.052853357
2019-09-25 21:00:00,1.7431175,0.04852707
2019-09-26 00:00:00,2.1782346,0.06413099
2019-09-26 03:00:00,2.0455902,0.071724534
2019-09-26 06:00:00,1.873662,0.123293296
2019-09-26 09:00:00,2.0418274,0.3053826
2019-09-26 12:00:00,2.106885,0.37107977
2019-09-26 15:00:00,2.3832073,0.3467445
2019-09-26 18:00:00,2.0777638,0.27304092
2019-09-26 21:00:00,1.985864,0.22796164
2019-09-27 00:00:00,2.3874404,0.1868827
2019-09-27 03:00:00,2.486395,0.14752017
2019-09-27 06:00:00,2.3635926,0.21940374
2019-09-27 09:00:00,1.6390384,0.35108766
2019-09-27 12:00:00,1.5974994,0.53173137
2019-09-27 15:00:00,2.044501,0.5677734
2019-09-27 18:00:00,1.8876302,0.42812672
2019-09-27 21:00:00,1.5793959,0.383688
2019-09-28 00:00:00,1.8244025,0.3807391
2019-09-28 03:00:00,1.8852319,0.41283157
2019-09-28 06:00:00,2.8584251,0.6122715
2019-09-28 09:00:00,2.2332277,0.5770637
2019-09-28 12:00:00,1.7382464,0.36529878
2019-09-28 15:00:00,2.1359527,0.5563436
2019-09-28 18:00:00,1.8875065,0.5465903
2019-09-28 21:00:00,2.2888463,0.41936076
2019-09-29 00:00:00,1.60225,0.16013749
2019-09-29 03:00:00,1.9112448,0.33304465
2019-09-29 06:00:00,2.2158594,0.5067045
2019-09-29 09:00:00,2.7086396,0.51483375
2019-09-29 12:00:00,3.1231933,0.5937356
2019-09-29 15:00:00,3.422158,0.38040242
2019-09-29 18:00:00,2.9769273,0.28996328
2019-09-29 21:00:00,4.279364,0.257861
2019-09-30 00:00:00,5.4254417,0.2670317
2019-09-30 03:00:00,5.271818,0.27594152
2019-09-30 06:00:00,5.311602,0.24811077
2019-09-30 09:00:00,2.940964,0.21003383
2019-09-30 12:00:00,2.3334239,0.17915125
2019-09-30 15:00:00,2.5528307,0.13127068
2019-09-30 18:00:00,2.2963982,0.08986983
2019-09-30 21:00:00,2.590966,0.10659433
2019-10-01 00:00:00,3.2289934,0.14813982
2019-10-01 03:00:00,3.1523125,0.084016606
2019-10-01 06:00:00,3.3455815,0.07878898
2019-10-01 09:00:00,3.449124,0.08582941
2019-10-01 12:00:00,3.6847882,0.09911201
2019-10-01 15:00:00,3.8668613,0.10299431
2019-10-01 18:00:00,4.1665483,0.103396304
2019-10-01 21:00:00,5.196753,0.1132787
2019-10-02 00:00:00,3.627381,0.0974184
2019-10-02 03:00:00,3.5766742,0.10605059
2019-10-02 06:00:00,4.186255,0.09630202
2019-10-02 09:00:00,5.514976,0.09981632
2019-10-02 12:00:00,6.1797833,0.09781125
2019-10-02 15:00:00,6.008235,0.09612664
2019-10-02 18:00:00,5.426427,0.09452809
2019-10-02 21:00:00,4.871484,0.093125045
2019-10-03 00:00:00,4.405662,0.099891275
2019-10-03 03:00:00,4.5929017,0.16747189
2019-10-03 06:00:00,4.9989033,0.23352891
2019-10-03 09:00:00,5.234171,0.21943364
2019-10-03 12:00:00,6.04892,0.2838016
2019-10-03 15:00:00,5.7257366,0.36265913
2019-10-03 18:00:00,5.075729,0.39755717
2019-10-03 21:00:00,4.3616524,0.3619186
2019-10-04 00:00:00,4.0723815,0.6756131
2019-10-04 03:00:00,2.4512446,1.4431117
2019-10-04 06:00:00,0.0,0.0
2019-10-04 09:00:00,1.0851701,0.9133548
2019-10-04 12:00:00,2.1184142,1.8526073
2019-10-04 15:00:00,2.6646285,0.9775464
2019-10-04 18:00:00,2.553123,1.1971523
2019-10-04 21:00:00,2.8263938,1.2928628
2019-10-05 00:00:00,2.6864734,1.1210063
2019-10-05 03:00:00,2.3402846,0.8335393
2019-10-05 06:00:00,2.105704,0.88957703
2019-10-05 09:00:00,1.9850167,1.5925579
2019-10-05 12:00:00,2.3251746,1.3304832
2019-10-05 15:00:00,3.4338713,1.1762556
2019-10-05 18:00:00,3.1340752,0.86068755
2019-10-05 21:00:00,3.0731359,0.7233583
2019-10-06 00:00:00,3.826729,0.7250498
2019-10-06 03:00:00,4.5741596,1.049061
2019-10-06 06:00:00,5.186059,1.0904748
2019-10-06 09:00:00,5.7008142,1.1448839
2019-10-06 12:00:00,5.721905,1.2669975
2019-10-06 15:00:00,5.342478,1.202313
2019-10-06 18:00:00,6.481207,1.0462978
2019-10-06 21:00:00,6.8332095,0.9391173
2019-10-07 00:00:00,5.8172326,0.9027219
2019-10-07 03:00:00,6.130396,0.83779037
2019-10-07 06:00:00,6.2686496,0.8599815
2019-10-07 09:00:00,4.2210436,0.90613467
2019-10-07 12:00:00,2.9943974,0.56426966
2019-10-07 15:00:00,2.8802445,0.5390654
2019-10-07 18:00:00,3.264236,0.36901158
2019-10-07 21:00:00,3.449963,0.28399166
2019-10-08 00:00:00,2.8463423,0.23865828
2019-10-08 03:00:00,2.883884,0.2133959
2019-10-08 06:00:00,2.327791,0.3515905
2019-10-08 09:00:00,0.87826574,1.443995
2019-10-08 12:00:00,0.826863,1.8852707
2019-10-08 15:00:00,1.4657085,1.5229071
2019-10-08 18:00:00,1.9873992,0.6238593
2019-10-08 21:00:00,1.7579819,0.5792882
2019-10-09 00:00:00,1.828571,1.2631544
2019-10-09 03:00:00,1.7764224,2.287563
2019-10-09 06:00:00,1.5428758,1.8554938
2019-10-09 09:00:00,1.6099646,2.1689923
2019-10-09 12:00:00,1.8056082,2.3678665
2019-10-09 15:00:00,1.860267,2.3538651
2019-10-09 18:00:00,1.7518203,2.0716896
2019-10-09 21:00:00,2.7724018,1.7873021
2019-10-10 00:00:00,2.2212913,1.9409653
2019-10-10 03:00:00,2.291772,1.684592
2019-10-10 06:00:00,2.0883846,1.8202266
2019-10-10 09:00:00,2.6704614,1.4661317
2019-10-10 12:00:00,2.3457747,1.5618885
2019-10-10 15:00:00,2.45356,2.048829
2019-10-10 18:00:00,2.7276034,1.9682572
2019-10-10 21:00:00,1.7808518,2.1667082
2019-10-11 00:00:00,2.260414,1.8852371
2019-10-11 03:00:00,2.4133787,1.7228248
2019-10-11 06:00:00,2.2614594,1.1859453
2019-10-11 09:00:00,2.0022001,1.0362839
2019-10-11 12:00:00,2.5388482,1.1690409
2019-10-11 15:00:00,3.2885652,1.3672227
2019-10-11 18:00:00,4.013957,1.4284942
2019-10-11 21:00:00,3.2958302,1.2610748
2019-10-12 00:00:00,2.6662438,1.1979526
2019-10-12 03:00:00,2.7952945,1.1982188
2019-10-12 06:00:00,2.952545,1.1435279
2019-10-12 09:00:00,2.9293044,1.1321417
2019-10-12 12:00:00,2.9657085,1.0616533
2019-10-12 15:00:00,3.3357928,1.1717768
2019-10-12 18:00:00,2.4083397,1.2890527
2019-10-12 21:00:00,3.196949,1.7217294
2019-10-13 00:00:00,3.6047137,0.9412297
2019-10-13 03:00:00,3.1033728,1.1968547
2019-10-13 06:00:00,2.6736996,1.3046967
2019-10-13 09:00:00,3.3991718,1.6519352
2019-10-13 12:00:00,3.5956388,1.4664227
2019-10-13 15:00:00,2.4654734,0.91000867
2019-10-13 18:00:00,2.5219355,0.6929071
2019-10-13 21:00:00,2.601537,0.7156591
2019-10-14 00:00:00,2.6927757,0.73986244
2019-10-14 03:00:00,2.928534,1.1181635
2019-10-14 06:00:00,2.295385,0.80220443
2019-10-14 09:00:00,2.1563833,0.93185925
2019-10-14 12:00:00,3.044001,0.9655071
2019-10-14 15:00:00,3.3418953,0.89294505
2019-10-14 18:00:00,3.482147,0.907867
2019-10-14 21:00:00,4.0892186,0.972992
2019-10-15 00:00:00,4.2197824,1.0261097
2019-10-15 03:00:00,4.5492764,1.0971768
2019-10-15 06:00:00,5.034533,1.1997998
2019-10-15 09:00:00,5.533027,1.2212234
2019-10-15 12:00:00,5.605933,1.1719708
2019-10-15 15:00:00,5.41836,1.1750163
2019-10-15 18:00:00,4.9289823,1.2430468
2019-10-15 21:00:00,5.5462933,1.2533734
2019-10-16 00:00:00,6.340046,1.228604
2019-10-16 03:00:00,6.3915105,1.1164141
2019-10-16 06:00:00,6.90941,1.2111613
2019-10-16 09:00:00,7.654243,1.5133747
2019-10-16 12:00:00,8.187199,1.5523486
2019-10-16 15:00:00,7.32282,1.2309457
2019-10-16 18:00:00,5.876485,0.86672246
