time,a,b,c
2019-09-20 09:00:00,0.78668207,0.59839123,0.31801683
2019-09-20 12:00:00,0.7889636,0.61640424,0.26889858
2019-09-20 15:00:00,0.82326674,0.6314759,0.3037902
2019-09-20 18:00:00,0.8922065,0.6595263,0.37390476
2019-09-20 21:00:00,0.7494885,0.69993263,0.47867277
2019-09-21 00:00:00,0.8197119,0.9586396,0.3885323
2019-09-21 03:00:00,0.9653829,1.0970207,0.3222597
2019-09-21 06:00:00,1.4518194,0.21273878,0.43377241
2019-09-21 09:00:00,1.476549,0.43332717,0.36013097
2019-09-21 12:00:00,1.9902216,0.59878165,0.35488388
2019-09-21 15:00:00,1.5370644,0.6241231,0.3645407
2019-09-21 18:00:00,0.8544328,0.34237242,0.9072929
2019-09-21 21:00:00,0.6845036,0.3210936,1.776033
2019-09-22 00:00:00,1.2561138,0.4023818,2.0028872
2019-09-22 03:00:00,1.1624237,0.50257295,2.7059054
2019-09-22 06:00:00,1.6109804,0.18257686,2.1336298
2019-09-22 09:00:00,0.8260006,0.13681963,1.7364056
2019-09-22 12:00:00,0.6587465,0.05526038,0.78458714
2019-09-22 15:00:00,1.2487781,0.05965362,0.791619
2019-09-22 18:00:00,0.8866888,0.051376898,0.8771308
2019-09-22 21:00:00,0.8224073,0.052862886,0.46719638
2019-09-23 00:00:00,0.8677056,0.032458246,0.622231
2019-09-23 03:00:00,0.89431566,0.03866794,0.5994952
2019-09-23 06:00:00,1.2499144,0.049172398,0.51442236
2019-09-23 09:00:00,1.6760446,0.052890003,0.52575034
2019-09-23 12:00:00,1.4454635,0.047304362,0.5422612
2019-09-23 15:00:00,1.3350799,0.06466568,0.49141517
2019-09-23 18:00:00,1.3238823,0.17342342,0.4603416
2019-09-23 21:00:00,1.4467686,0.22069444,0.57753986
2019-09-24 00:00:00,1.3798248,0.15698528,0.75827795
2019-09-24 03:00:00,1.281317,0.14191665,0.87250876
2019-09-24 06:00:00,1.62153,0.15114512,0.5418386
2019-09-24 09:00:00,1.7428771,0.16817717,0.3523249
2019-09-24 12:00:00,1.0868497,0.06938818,1.3157243
2019-09-24 15:00:00,0.66656995,0.071481146,1.9327191
2019-09-24 18:00:00,0.7619661,0.065077655,1.7867774
2019-09-24 21:00:00,0.6742455,0.058288395,1.6502299
2019-09-25 00:00:00,0.7257977,0.063192196,1.9297729
2019-09-25 03:00:00,0.80389744,0.06815616,1.9491054
2019-09-25 06:00:00,0.7307958,0.06779535,1.8708568
2019-09-25 09:00:00,0.53162664,0.063025564,1.6270556
2019-09-25 12:00:00,0.94087076,0.06331649,1.2634118
2019-09-25 15:00:00,1.2506799,0.06401454,0.5480208
2019-09-25 18:00:00,1.3050089,0.03524971,0.07697327
2019-09-25 21:00:00,1.6697276,0.033241306,0.08867491
2019-09-26 00:00:00,1.9491228,0.046197522,0.24704272
2019-09-26 03:00:00,1.6726178,0.054868646,0.38982946
2019-09-26 06:00:00,1.6880547,0.09076095,0.2181399
2019-09-26 09:00:00,2.0418353,0.21663617,0.0887379
2019-09-26 12:00:00,2.1529784,0.25702265,0.06796399
