time,a,b,c,d,e
2019-09-20 09:00:00,0.6936942,0.7927774,0.05825487,0.14862752,0.009736069
2019-09-20 12:00:00,0.6946023,0.7599458,0.061790805,0.14829624,0.009631627
2019-09-20 15:00:00,0.719224,0.8144073,0.058347628,0.15752253,0.009031744
2019-09-20 18:00:00,0.7819877,0.91361815,0.057173952,0.16358249,0.009275057
2019-09-20 21:00:00,0.687634,1.0302066,0.071947105,0.12786566,0.010441157
2019-09-21 00:00:00,0.6896585,1.1204791,0.13125642,0.20269708,0.022792246
2019-09-21 03:00:00,0.78320175,1.2116542,0.11970675,0.24297842,0.027122863
2019-09-21 06:00:00,0.49116817,0.48452947,0.123065434,0.96123415,0.03833499
2019-09-21 09:00:00,0.76799554,0.61769867,0.12620436,0.71988267,0.03822733
2019-09-21 12:00:00,1.1918982,0.7677242,0.105837695,0.8016886,0.076739706
2019-09-21 15:00:00,1.0803499,0.7506183,0.13303329,0.50225395,0.059472412
2019-09-21 18:00:00,0.7427193,0.49871734,0.64849275,0.17623596,0.037932627
2019-09-21 21:00:00,0.88285005,0.47317103,1.2281742,0.16338487,0.034050293
2019-09-22 00:00:00,1.5954609,0.5867337,1.2656848,0.1793185,0.034184504
2019-09-22 03:00:00,1.7708397,0.8633591,1.4838886,0.21932815,0.033487175
2019-09-22 06:00:00,1.6967709,0.8159753,1.1126426,0.27301192,0.028787319
2019-09-22 09:00:00,0.86360747,0.7035053,0.94978106,0.14878383,0.03354804
2019-09-22 12:00:00,0.45285374,0.17055409,0.3895227,0.46718392,0.018479595
2019-09-22 15:00:00,0.5038404,0.15980563,0.4330326,0.96746165,0.035910662
2019-09-22 18:00:00,0.72992676,0.047473386,0.48600784,0.5349114,0.016877275
2019-09-22 21:00:00,0.6748651,0.045558672,0.24606438,0.34339425,0.032583587
2019-09-23 00:00:00,0.86617416,0.0293216,0.3481999,0.25989276,0.018806357
2019-09-23 03:00:00,0.79021883,0.033984516,0.3653543,0.32162532,0.021295678
2019-09-23 06:00:00,0.94791937,0.044606794,0.2932788,0.4955263,0.032177564
2019-09-23 09:00:00,1.428644,0.047972005,0.23547386,0.50418776,0.03840725
2019-09-23 12:00:00,1.5197632,0.043578085,0.19210899,0.25748375,0.022095095
2019-09-23 15:00:00,1.414153,0.060382128,0.14278485,0.24823637,0.025604796
2019-09-23 18:00:00,1.5880331,0.14810164,0.07806657,0.118846714,0.024599742
2019-09-23 21:00:00,1.7883139,0.18129544,0.102560095,0.14058644,0.032247014
2019-09-24 00:00:00,1.652612,0.13099587,0.26358998,0.21613419,0.031755883
2019-09-24 03:00:00,1.4319645,0.120245315,0.4479375,0.266881,0.028713522
2019-09-24 06:00:00,1.4888861,0.12704022,0.16905914,0.48975667,0.039771523
2019-09-24 09:00:00,1.5551876,0.13656743,0.11919535,0.40941888,0.043009445
2019-09-24 12:00:00,0.88227695,0.065092854,1.0410261,0.45727533,0.02629043
2019-09-24 15:00:00,0.6078147,0.10036105,1.7514428,0.18935317,0.021798756
2019-09-24 18:00:00,0.77253044,0.123365894,1.5243653,0.17269878,0.02086102
2019-09-24 21:00:00,0.73507476,0.11431694,1.3723111,0.14002787,0.02103333
2019-09-25 00:00:00,0.8828403,0.11264468,1.521664,0.18125978,0.020353716
2019-09-25 03:00:00,0.87308323,0.09832673,1.5965409,0.23391359,0.019294275
2019-09-25 06:00:00,0.7787541,0.0920826,1.5641726,0.2148478,0.019590722
2019-09-25 09:00:00,0.56872576,0.08166871,1.3927816,0.16006921,0.01846206
2019-09-25 12:00:00,0.62191516,0.06366281,1.1547244,0.40760314,0.019693445
2019-09-25 15:00:00,0.80283475,0.054221407,0.50443166,0.47581235,0.025414087
2019-09-25 18:00:00,0.7973561,0.03190861,0.053775936,0.5168363,0.017353654
