time,a,b,c,d,e,f,g,h,i
2019-09-20 09:00:00,0.31852514,0.40733108,0.029774277,0.48366946,0.044008933,0.27158254,0.0077704904,0.02836476,0.11206317
2019-09-20 12:00:00,0.3269934,0.39819315,0.030632807,0.50551385,0.045016874,0.2197278,0.007513445,0.028729137,0.111946754
2019-09-20 15:00:00,0.35057616,0.3985417,0.02888392,0.5243329,0.04340033,0.25504598,0.0068895435,0.030544963,0.12031768
2019-09-20 18:00:00,0.40450564,0.40186778,0.029042214,0.56119686,0.042177882,0.3222988,0.007088505,0.028103719,0.12935641
2019-09-20 21:00:00,0.3696517,0.30320734,0.037157796,0.63845116,0.04212475,0.40662235,0.008824033,0.020393027,0.10166263
2019-09-21 00:00:00,0.32772434,0.3100702,0.1603259,0.68621963,0.029459385,0.46157706,0.019027634,0.039860222,0.1326192
2019-09-21 03:00:00,0.34066626,0.34545165,0.23461644,0.6375919,0.028958298,0.5788916,0.020029847,0.058297712,0.14015931
2019-09-21 06:00:00,0.10936145,0.136339,0.40735233,0.14800617,0.053824566,0.34883344,0.018894989,0.08065569,0.79506487
2019-09-21 09:00:00,0.21547301,0.26653042,0.45804346,0.2321278,0.038347017,0.36252043,0.019555192,0.095262736,0.58214796
2019-09-21 12:00:00,0.39547864,0.36995822,0.66711116,0.31797287,0.025290484,0.37183753,0.024376096,0.2024791,0.56938404
2019-09-21 15:00:00,0.37620607,0.4235716,0.56289136,0.35321182,0.03142244,0.26167527,0.024796344,0.14606011,0.34589332
2019-09-21 18:00:00,0.08882884,0.5006264,0.43304613,0.1556334,0.48399058,0.2449389,0.023293693,0.09123671,0.08250349
2019-09-21 21:00:00,0.067463994,0.8595619,0.47153544,0.1206583,0.6697354,0.40841472,0.024609672,0.07595864,0.083691366
2019-09-22 00:00:00,0.06665498,1.6488672,0.51105726,0.1297355,0.6267515,0.47899216,0.02473614,0.09027226,0.084316075
2019-09-22 03:00:00,0.05759038,1.9497466,0.6777863,0.073820814,0.56310374,0.8156365,0.022948138,0.10072308,0.10954734
2019-09-22 06:00:00,0.05738254,1.517702,0.6826412,0.045960013,0.4757843,0.8697536,0.018146876,0.13617072,0.123647824
2019-09-22 09:00:00,0.06736138,1.1225657,0.44607553,0.05549963,0.54949915,0.28614488,0.022301946,0.08684557,0.06293199
2019-09-22 12:00:00,0.0347675,0.43147808,0.33580986,0.037199553,0.100975186,0.11578263,0.012930702,0.02786282,0.40178767
2019-09-22 15:00:00,0.051078845,0.41599143,0.5486863,0.040764265,0.051495638,0.06877874,0.015100767,0.0941145,0.8140406
2019-09-22 18:00:00,0.037726015,0.6466271,0.3338661,0.033942554,0.22425655,0.05332507,0.011820459,0.029944865,0.44368732
2019-09-22 21:00:00,0.045330495,0.41193998,0.4105814,0.034612,0.054917127,0.048074074,0.015323344,0.08194216,0.23974593
2019-09-23 00:00:00,0.051785406,0.4934728,0.5932755,0.021163868,0.05314294,0.11316454,0.008170424,0.074715935,0.11350342
2019-09-23 03:00:00,0.05174658,0.39866087,0.57117116,0.024167154,0.10191233,0.091341384,0.0101077715,0.0707566,0.21261427
2019-09-23 06:00:00,0.09532379,0.3770922,0.7284738,0.032087833,0.061157584,0.067580126,0.013335236,0.089620315,0.3488382
2019-09-23 09:00:00,0.07790717,0.39806363,1.1687638,0.034819283,0.051929235,0.042928103,0.014588063,0.10852191,0.35716438
2019-09-23 12:00:00,0.07463769,0.3901686,1.2104883,0.03163797,0.04093606,0.044290185,0.011629284,0.06023226,0.17100815
2019-09-23 15:00:00,0.1418031,0.34852964,1.031834,0.044140145,0.03663705,0.05206236,0.014985667,0.057333667,0.16383584
2019-09-23 18:00:00,0.27159625,0.39871505,0.97516537,0.10694512,0.021835662,0.05493592,0.021151144,0.0374887,0.069814764
2019-09-23 21:00:00,0.31624302,0.4222007,1.1372536,0.13040407,0.029067392,0.060720045,0.027994052,0.038909197,0.08221268
2019-09-24 00:00:00,0.21580678,0.3491174,1.2610451,0.09309561,0.095676,0.07893562,0.025713848,0.04608777,0.12960951
2019-09-24 03:00:00,0.17719865,0.28033012,1.1732619,0.08277446,0.19974658,0.1424667,0.024109332,0.041979168,0.17387505
2019-09-24 06:00:00,0.20051524,0.25374746,1.1899773,0.08359923,0.06216271,0.057694953,0.02667968,0.06006618,0.38007072
2019-09-24 09:00:00,0.2128633,0.25344706,1.2074673,0.08935785,0.042498674,0.05883111,0.032074157,0.063784204,0.30305406
2019-09-24 12:00:00,0.057502486,0.15109785,1.2523798,0.043994907,0.4732165,0.085087776,0.015716901,0.047229923,0.3457358
2019-09-24 15:00:00,0.044555742,0.16124284,1.0018121,0.04676505,0.7074453,0.5295789,0.015745874,0.046822883,0.11680291
2019-09-24 18:00:00,0.054595105,0.17424358,0.93640196,0.043249696,0.5630541,0.66782475,0.013196482,0.06210185,0.09915392
2019-09-24 21:00:00,0.0557861,0.09103593,0.94453305,0.03930703,0.52909225,0.57389194,0.012258311,0.06247447,0.074385345
2019-09-25 00:00:00,0.05428137,0.11455016,1.1438988,0.041988358,0.5693795,0.6172347,0.013064969,0.058174808,0.10619032
2019-09-25 03:00:00,0.04903965,0.07159798,1.1907227,0.04500992,0.75872225,0.5010346,0.014080753,0.042903446,0.14804786
2019-09-25 06:00:00,0.047770813,0.06925291,1.0907578,0.04475078,0.782231,0.4473469,0.014404413,0.039892793,0.13304064
2019-09-25 09:00:00,0.04090322,0.059794083,0.8061735,0.04158646,0.7312539,0.39307392,0.013558158,0.036522314,0.098841846
2019-09-25 12:00:00,0.03613262,0.044888012,0.91875625,0.04210624,0.7194176,0.17538011,0.013919323,0.030895341,0.28610435
2019-09-25 15:00:00,0.04373841,0.027028628,0.94426286,0.041087862,0.38128415,0.06359849,0.018329324,0.039915178,0.3034699
2019-09-25 18:00:00,0.028846614,0.013132918,0.83191407,0.022580102,0.026603825,0.029484902,0.009819191,0.053672645,0.40117693
2019-09-25 21:00:00,0.04011701,0.01691256,0.90612185,0.02308837,0.0379818,0.031648155,0.0074327616,0.04483792,0.68350405
2019-09-26 00:00:00,0.044243358,0.028700126,0.8994705,0.03211889,0.16833277,0.043846253,0.009338666,0.04428764,0.97202486
2019-09-26 03:00:00,0.030093469,0.027962012,0.9430276,0.036063578,0.3161782,0.051633324,0.014273589,0.03735784,0.66072536
2019-09-26 06:00:00,0.06049835,0.031746864,0.98296124,0.039246958,0.1561602,0.047716375,0.04350462,0.07881704,0.5563043
2019-09-26 09:00:00,0.12827814,0.04369814,1.1158552,0.045175117,0.024645882,0.04556485,0.1663704,0.28913748,0.48848733
2019-09-26 12:00:00,0.14690273,0.049399763,1.1713376,0.043973383,0.0059653698,0.047192797,0.19967861,0.37122568,0.44228652
2019-09-26 15:00:00,0.13164432,0.049542062,1.4796054,0.039939396,0.0050638453,0.048791878,0.17660655,0.36742422,0.43133464
2019-09-26 18:00:00,0.08991559,0.037242554,1.3969944,0.03334783,0.0052897036,0.041835383,0.1292271,0.28697255,0.32997942
2019-09-26 21:00:00,0.06387087,0.029363476,1.4312642,0.028703576,0.004436952,0.036289833,0.1009495,0.23141284,0.28753462
2019-09-27 00:00:00,0.052894242,0.026096418,1.8987354,0.026621545,0.0049256277,0.032466486,0.078743465,0.20359659,0.25024256
2019-09-27 03:00:00,0.032973643,0.016082104,2.0977678,0.021006972,0.004960898,0.025951197,0.059592478,0.19151047,0.18407175
2019-09-27 06:00:00,0.09770338,0.035257466,1.8045199,0.041662153,0.0066384086,0.040671837,0.10301258,0.21208066,0.2414507
2019-09-27 09:00:00,0.15311617,0.04779071,0.99571365,0.05889011,0.0057832347,0.0379427,0.19728684,0.25281614,0.24078561
2019-09-27 12:00:00,0.11883371,0.044637367,0.80602604,0.07153274,0.0045500784,0.036486696,0.32226926,0.47299218,0.25190333
2019-09-27 15:00:00,0.10916669,0.05255149,1.069462,0.08738159,0.0047767214,0.04901949,0.33745998,0.679052,0.22340485
2019-09-27 18:00:00,0.19009395,0.024391033,1.1337254,0.051161014,0.014278169,0.029902829,0.25197968,0.4960679,0.124156274
2019-09-27 21:00:00,0.16082828,0.016293878,1.0552251,0.03695742,0.015272867,0.02442607,0.21485345,0.40229228,0.036935687
2019-09-28 00:00:00,0.2150535,0.02110362,1.2474957,0.04196407,0.017779099,0.027908344,0.21345665,0.38322553,0.03715491
2019-09-28 03:00:00,0.20592482,0.022874992,1.2832037,0.043513656,0.01544382,0.028755087,0.23042984,0.43271515,0.035202008
2019-09-28 06:00:00,0.16794944,0.055716652,1.8708731,0.09472404,0.006367011,0.05305503,0.35260537,0.8487091,0.02069808
2019-09-28 09:00:00,0.12563974,0.047715217,1.4995981,0.08092688,0.004023289,0.041747343,0.33069444,0.66638905,0.013557553
2019-09-28 12:00:00,0.14144635,0.042597547,1.3057344,0.06413885,0.003980274,0.039031997,0.19110098,0.2957962,0.019718226
2019-09-28 15:00:00,0.2355678,0.07141867,1.512694,0.1109261,0.0051701455,0.06217206,0.27664965,0.35402843,0.06367045
2019-09-28 18:00:00,0.18560168,0.054912787,1.3817753,0.091940604,0.004308048,0.052780457,0.28420696,0.3313622,0.047208447
2019-09-28 21:00:00,0.15233411,0.043498076,1.8430822,0.07487374,0.0042632427,0.046855822,0.22062443,0.24712469,0.07554891
2019-09-29 00:00:00,0.051153425,0.022201788,1.2442796,0.029615588,0.0048869387,0.033016294,0.069225766,0.15643975,0.15156826
2019-09-29 03:00:00,0.29120928,0.036216475,1.1221058,0.0550368,0.0043967506,0.03899275,0.1865148,0.25629976,0.253517
2019-09-29 06:00:00,0.5996063,0.047007892,0.9664798,0.08053491,0.0036812944,0.042405896,0.30106425,0.38209864,0.29968756
2019-09-29 09:00:00,0.700342,0.042172823,1.3295918,0.087057926,0.004451438,0.04660202,0.30406234,0.6295864,0.07960541
2019-09-29 12:00:00,0.6866828,0.043567467,1.7497095,0.09349054,0.0054462445,0.044439986,0.3502257,0.70314467,0.040223174
2019-09-29 15:00:00,1.7516644,0.028773787,1.2054573,0.056930516,0.016385503,0.03572137,0.21464051,0.43162617,0.06136001
2019-09-29 18:00:00,1.8396875,0.022171034,0.70956916,0.045184936,0.03815445,0.032732964,0.16012383,0.3012581,0.11800895
2019-09-29 21:00:00,3.0145142,0.059767473,0.7099237,0.043952677,0.054380123,0.033875763,0.1424718,0.25880882,0.21953243
2019-09-30 00:00:00,3.7531266,0.27217445,0.7544748,0.05094967,0.017707106,0.036669128,0.14893074,0.3004875,0.35795358
2019-09-30 03:00:00,3.6964488,0.26280883,0.6301326,0.05782071,0.056568682,0.04039716,0.15410154,0.28844658,0.36103883
2019-09-30 06:00:00,3.5941222,0.23581935,0.7145154,0.05288292,0.035943452,0.039055184,0.13530242,0.29125795,0.46081343
2019-09-30 09:00:00,1.7611785,0.123332,0.50956565,0.039588995,0.025098441,0.030270731,0.116852894,0.21439695,0.3307145
2019-09-30 12:00:00,1.371914,0.16659875,0.37686703,0.033480134,0.053961847,0.03703577,0.09771618,0.16485463,0.21014695
2019-09-30 15:00:00,1.4643123,0.16292833,0.3169625,0.050883006,0.38709545,0.06272753,0.05197098,0.059042424,0.12817919
2019-09-30 18:00:00,1.5134184,0.1382845,0.3072258,0.030597135,0.20669156,0.03952004,0.035536777,0.047302686,0.0676899
2019-09-30 21:00:00,1.7749076,0.14911455,0.42676052,0.020412385,0.033111136,0.029488452,0.049689557,0.08617233,0.12790422
2019-10-01 00:00:00,2.126792,0.18987899,0.6248103,0.025518075,0.02823761,0.030758683,0.0772561,0.111356504,0.16252606
2019-10-01 03:00:00,2.288861,0.21326974,0.49009815,0.01840407,0.031268314,0.027666897,0.037218183,0.05211168,0.07743192
2019-10-01 06:00:00,2.5257673,0.22065525,0.44677162,0.017954271,0.031562466,0.028244693,0.032956026,0.050066035,0.07039162
2019-10-01 09:00:00,2.5932963,0.25027043,0.44956,0.017517554,0.032669574,0.029580588,0.037805203,0.057995398,0.06625928
2019-10-01 12:00:00,2.6824868,0.3198822,0.51619464,0.01950173,0.033711165,0.029852629,0.04505677,0.067652054,0.06956322
2019-10-01 15:00:00,2.691232,0.4566923,0.54944444,0.018727116,0.034411866,0.027830154,0.04949023,0.07035679,0.071670644
2019-10-01 18:00:00,2.9647455,0.49269986,0.5417593,0.018324882,0.033877663,0.02745776,0.050261576,0.06941528,0.07140171
2019-10-01 21:00:00,3.881151,0.53739804,0.59820884,0.020559732,0.035783857,0.028663466,0.05538203,0.07378955,0.07909742
2019-10-02 00:00:00,2.4174438,0.57586676,0.47203675,0.017572965,0.033552133,0.027589243,0.047376618,0.065101065,0.06826023
2019-10-02 03:00:00,2.4285512,0.5224563,0.44856846,0.019661978,0.037066773,0.029055417,0.05143386,0.067984246,0.0779472
2019-10-02 06:00:00,3.0447602,0.5402226,0.44281965,0.017155774,0.033541262,0.025720747,0.046991047,0.0628594,0.06848747
2019-10-02 09:00:00,4.2730846,0.57886773,0.50296533,0.017308427,0.034284696,0.02571373,0.04948954,0.06409964,0.06897813
2019-10-02 12:00:00,4.989652,0.5221937,0.50373936,0.017815983,0.036566682,0.02680187,0.0477295,0.062082842,0.0710117
2019-10-02 15:00:00,4.8404994,0.52458745,0.4753455,0.017662255,0.039824747,0.02739361,0.047497254,0.05901433,0.07253669
2019-10-02 18:00:00,4.323091,0.4841934,0.4426566,0.0189108,0.04251639,0.027622847,0.045094315,0.058250353,0.078619465
2019-10-02 21:00:00,3.8482563,0.4204281,0.40967625,0.019709291,0.052312892,0.030149508,0.044368945,0.054513685,0.08518928
2019-10-03 00:00:00,3.3615308,0.37449577,0.38736576,0.02840863,0.12448947,0.036883123,0.043584783,0.053952787,0.0948428
2019-10-03 03:00:00,2.8216467,0.69601154,0.73125625,0.043977253,0.110459745,0.046346754,0.08379012,0.10249829,0.1243863
2019-10-03 06:00:00,2.3165543,1.3316993,1.0244455,0.047206312,0.072918415,0.050961886,0.12770888,0.1648065,0.09612756
2019-10-03 09:00:00,2.5677357,1.2991008,1.0626782,0.04377705,0.06488557,0.07269082,0.113160156,0.16289581,0.06668364
2019-10-03 12:00:00,2.9590445,1.410432,1.412344,0.04551273,0.06380848,0.07915117,0.12351963,0.18194883,0.056959707
2019-10-03 15:00:00,2.6089618,1.5964772,1.3083667,0.046013378,0.07563178,0.098979026,0.11562468,0.17639764,0.061946213
2019-10-03 18:00:00,2.1907082,1.5322325,1.1435412,0.058806952,0.08946301,0.12860405,0.09803883,0.15197201,0.07991792
2019-10-03 21:00:00,2.0201187,1.2502105,0.8388276,0.06973589,0.115425825,0.14313151,0.07654634,0.10939663,0.10018052
2019-10-04 00:00:00,2.38881,0.97891724,0.5382967,0.06903496,0.119397745,0.07163949,0.40547332,0.08916915,0.087253064
2019-10-04 03:00:00,1.7331468,0.41818935,0.19966072,0.11956285,0.03145051,0.025600603,1.129664,0.17193204,0.06514925
2019-10-04 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-04 09:00:00,1.0052413,0.08999973,0.020982893,0.13593422,0.0105496915,0.011717205,0.6186388,0.09235651,0.013105052
2019-10-04 12:00:00,2.083077,0.19138561,0.031663552,0.119333185,0.012512164,0.015947612,1.3371902,0.16055842,0.019353708
2019-10-04 15:00:00,1.9736955,0.027672593,0.034665436,0.096757114,0.0128397355,0.02265778,0.60795885,0.8118018,0.054124262
2019-10-04 18:00:00,2.0299613,0.024353795,0.03192351,0.09706781,0.014892518,0.024622997,0.87137896,0.6185049,0.037570003
2019-10-04 21:00:00,2.3857203,0.029589748,0.040528506,0.10991008,0.020206692,0.02551276,1.023285,0.4548638,0.029640703
2019-10-05 00:00:00,2.2809942,0.034391683,0.051892396,0.10928492,0.025023084,0.024461363,0.9066186,0.34734374,0.027469598
2019-10-05 03:00:00,1.9832636,0.02842522,0.04160419,0.08179223,0.021407232,0.021947647,0.64913094,0.31531468,0.030937577
2019-10-05 06:00:00,1.7572892,0.024912164,0.051540915,0.096671365,0.018238924,0.022246784,0.6910242,0.29748127,0.035875164
2019-10-05 09:00:00,1.5597776,0.023993453,0.19830413,0.27739504,0.014732102,0.019297661,1.2396319,0.22363974,0.020802293
2019-10-05 12:00:00,1.4179546,0.018124854,0.68250805,0.24903549,0.01108861,0.017750697,1.0178428,0.21291094,0.0284422
2019-10-05 15:00:00,1.8692855,0.015993524,1.3359575,0.21549313,0.01056072,0.016845658,0.8925118,0.21984723,0.0336306
2019-10-05 18:00:00,1.2845958,0.013492612,1.5917226,0.12447824,0.011373015,0.017390525,0.57114446,0.33872643,0.041838504
